displayName,TEAM_ABBREVIATION,MIN,jackDKavgFPTs,draftableId,playerId,playerDkId,position,rosterSlotId,salary,status,playerImage160,teamAbbreviation,value,DraftGroup,Sport,Type,Time,Team,PPM,pos
Luka Garza,MIN,8.7,10.68,27503972,1061057,591056,C,475,1000,None,https://dkn.gs/sports/images/nba/players/160/591056.png,MIN,10.6,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.23,UTIL
Matt Ryan,MIN,9.1,5.9,27504010,880463,591827,SF,476,1500,None,https://dkn.gs/sports/images/nba/teams/160/32935.png,MIN,6.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.65,CPT
Matt Ryan,MIN,9.1,5.9,27503976,880463,591827,SF,475,1000,None,https://dkn.gs/sports/images/nba/teams/160/32935.png,MIN,6.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.65,UTIL
Michael Porter Jr.,DEN,29.0,28.92,27503988,1061724,33026,SF,476,9900,None,https://dkn.gs/sports/images/nba/players/160/33026.png,DEN,29.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.0,CPT
Michael Porter Jr.,DEN,29.0,28.92,27503954,1061724,33026,SF,475,6600,None,https://dkn.gs/sports/images/nba/players/160/33026.png,DEN,29.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.0,UTIL
Mike Conley,MIN,30.3,28.17,27503987,329468,33389,PG,476,10200,None,https://dkn.gs/sports/images/nba/players/160/33389.png,MIN,28.6,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.93,CPT
Mike Conley,MIN,30.3,28.17,27503953,329468,33389,PG,475,6800,None,https://dkn.gs/sports/images/nba/players/160/33389.png,MIN,28.6,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.93,UTIL
Nathan Knight,MIN,7.7,6.83,27504008,953887,529514,C,476,1500,None,https://dkn.gs/sports/images/nba/players/160/529514.png,MIN,6.5,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.89,CPT
Nathan Knight,MIN,7.7,6.83,27503974,953887,529514,C,475,1000,None,https://dkn.gs/sports/images/nba/players/160/529514.png,MIN,6.5,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.89,UTIL
Naz Reid,MIN,18.4,0.0,27504005,1137200,33206,C,476,1500,OUT,https://dkn.gs/sports/images/nba/players/160/33206.png,MIN,0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.0,CPT
Naz Reid,MIN,18.4,0.0,27503971,1137200,33206,C,475,1000,OUT,https://dkn.gs/sports/images/nba/players/160/33206.png,MIN,0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.0,UTIL
Nickeil Alexander-Walker,MIN,15.0,12.88,27503992,1067668,33225,PG/SG,476,6300,None,https://dkn.gs/sports/images/nba/players/160/33225.png,MIN,13.4,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.86,CPT
Nickeil Alexander-Walker,MIN,15.0,12.88,27503958,1067668,33225,PG/SG,475,4200,None,https://dkn.gs/sports/images/nba/players/160/33225.png,MIN,13.4,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.86,UTIL
Nikola Jokic,DEN,33.7,58.05,27503980,830650,33018,C,476,17100,None,https://dkn.gs/sports/images/nba/players/160/33018.png,DEN,59.1,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.72,CPT
Nikola Jokic,DEN,33.7,58.05,27503946,830650,33018,C,475,11400,None,https://dkn.gs/sports/images/nba/players/160/33018.png,DEN,59.1,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.72,UTIL
Peyton Watson,DEN,8.1,7.25,27504002,1326502,649577,SF/PF,476,3000,None,https://dkn.gs/sports/images/nba/players/160/649577.png,DEN,7.1,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.9,CPT
Peyton Watson,DEN,8.1,7.25,27503968,1326502,649577,SF/PF,475,2000,None,https://dkn.gs/sports/images/nba/players/160/649577.png,DEN,7.1,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.9,UTIL
Reggie Jackson,DEN,24.4,19.37,27503997,462444,33034,PG,476,4800,None,https://dkn.gs/sports/images/nba/players/160/33034.png,DEN,19.4,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.79,CPT
Reggie Jackson,DEN,24.4,19.37,27503963,462444,33034,PG,475,3200,None,https://dkn.gs/sports/images/nba/players/160/33034.png,DEN,19.4,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,0.79,UTIL
Rudy Gobert,MIN,30.7,34.75,27503984,739960,33393,C,476,11700,Q,https://dkn.gs/sports/images/nba/players/160/33393.png,MIN,34.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.13,CPT
Rudy Gobert,MIN,30.7,34.75,27503950,739960,33393,C,475,7800,Q,https://dkn.gs/sports/images/nba/players/160/33393.png,MIN,34.0,85804,NBA,Showdown Captain Mode,Sun 10:30PM,MIN vs DEN,1.13,UTIL
